name,address,website,phone,category,location,mock_score,needs_website
Plumber Elite Capital,"97 Grafton St, Dublin 2",https://plumberelitecapital.ie,+353 4 734 7382,Plumber,"Dublin, Ireland",30,False
Electrician City Dublin,"16 Grafton St, Dublin 1",https://electriciancitydublin.ie,+353 58 287 2638,Electrician,"Dublin, Ireland",16,False
Cafe Premier Dublin,"40 Camden St, Dublin 4",https://cafepremierdublin.ie,+353 8 855 3969,Cafe,"Dublin, Ireland",7,True
Hotel Metro Dublin,"44 Grafton St, Dublin 4",https://hotelmetrodublin.ie,+353 50 627 6388,Hotel,"Dublin, Ireland",26,False
Hotel Elite Irish,"71 Grafton St, Dublin 2",https://hoteleliteirish.ie,+353 46 535 9967,Hotel,"Dublin, Ireland",15,False
Electrician Premier Dublin,"1 O'Connell St, Dublin 12",https://electricianpremierdublin.ie,+353 46 217 2317,Electrician,"Dublin, Ireland",25,False
Electrician Metro Irish,"66 Camden St, Dublin 1",https://electricianmetroirish.ie,+353 5 210 9007,Electrician,"Dublin, Ireland",1,True
Dentist Metro Irish,"34 Camden St, Dublin 8",https://dentistmetroirish.ie,+353 8 570 6474,Dentist,"Dublin, Ireland",26,False
Cafe Prime Capital,"81 Camden St, Dublin 12",https://cafeprimecapital.ie,+353 31 720 9144,Cafe,"Dublin, Ireland",13,True
Electrician City Irish,"82 Main St, Dublin 12",https://electriciancityirish.ie,+353 38 579 1638,Electrician,"Dublin, Ireland",11,True
Dentist Elite Capital,"32 Grafton St, Dublin 4",https://dentistelitecapital.ie,+353 48 136 5283,Dentist,"Dublin, Ireland",8,True
Dentist Metro Capital,"54 Main St, Dublin 2",https://dentistmetrocapital.ie,+353 37 474 8232,Dentist,"Dublin, Ireland",15,False
Dentist Metro Capital,"42 Main St, Dublin 2",https://dentistmetrocapital.ie,+353 23 881 3784,Dentist,"Dublin, Ireland",12,True
Solicitor City Capital,"18 Main St, Dublin 12",https://solicitorcitycapital.ie,+353 57 690 4122,Solicitor,"Dublin, Ireland",19,False
Electrician Premier Dublin,"43 Grafton St, Dublin 2",https://electricianpremierdublin.ie,+353 81 213 5708,Electrician,"Dublin, Ireland",14,True
Dentist Metro Capital,"92 Camden St, Dublin 1",https://dentistmetrocapital.ie,+353 76 256 5694,Dentist,"Dublin, Ireland",2,True
Restaurant Premier Capital,"26 Camden St, Dublin 2",NO_WEBSITE,+353 1 624 6724,Restaurant,"Dublin, Ireland",0,True
Dentist Metro Irish,"78 Grafton St, Dublin 4",https://dentistmetroirish.ie,+353 76 899 2797,Dentist,"Dublin, Ireland",17,False
Dentist Metro Dublin,"96 Main St, Dublin 2",https://dentistmetrodublin.ie,+353 27 683 9045,Dentist,"Dublin, Ireland",24,False
